doc_id,hybrid_deterministic,baseline_deterministic,baseline_avg_ungrounded,hybrid_traceability,fp_count,fn_count,is_synthetic
public_01,True,False,0.6,1.0,0,0,False
public_02,True,False,1.0,1.0,0,0,False
public_03,True,False,0.8,1.0,0,0,False
public_04,True,False,0.8,1.0,0,0,False
public_05,True,False,0.4,1.0,0,0,False
public_06,True,False,0.6,1.0,0,0,False
public_07,True,False,0.8,1.0,0,0,False
public_08,True,False,0.6,1.0,0,0,False
public_09,True,False,0.4,1.0,0,0,False
public_10,True,False,1.2,1.0,0,0,False
public_11,True,False,1.0,1.0,0,0,False
public_12,True,False,0.8,1.0,0,0,False
public_13,True,False,1.0,1.0,0,0,False
public_14,True,False,0.8,1.0,0,0,False
public_15,True,False,0.8,1.0,0,0,False
synthetic_01,True,False,0.6,1.0,1,0,True
synthetic_02,True,False,0.0,1.0,1,0,True
synthetic_03,True,False,0.0,1.0,1,0,True
synthetic_04,True,False,0.0,1.0,1,1,True
synthetic_05,True,False,0.4,1.0,1,1,True
synthetic_06,True,False,0.0,1.0,1,1,True
synthetic_07,True,False,0.0,1.0,1,1,True
synthetic_08,True,False,0.0,1.0,1,1,True
synthetic_09,True,False,0.4,1.0,1,0,True
synthetic_10,True,False,0.0,1.0,1,0,True
synthetic_11,True,False,0.0,1.0,1,0,True
synthetic_12,True,False,0.0,1.0,1,0,True
synthetic_13,True,False,0.0,1.0,1,0,True
synthetic_14,True,False,0.0,1.0,1,0,True
synthetic_15,True,False,0.0,1.0,0,0,True
